gene,symbol,baseMean,HD.mean,Control.mean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000260645.1,RP11-250B2.5,79.4249055,100.2661656,70.91826872,0.896573591,0.152631769,5.874095524,4.25E-09,8.24E-07
ENSG00000269028.2,MTRNR2L12,12.79056451,0.297518743,17.88976686,-2.84112543,0.483922642,-5.871032238,4.33E-09,8.33E-07
ENSG00000148498.11,PARD3,522.7464431,759.2322938,426.2216061,1.159940379,0.19764569,5.86878661,4.39E-09,8.34E-07
ENSG00000205632.2,WI2-81516E3.1,54.1105613,22.8988583,66.85003192,-1.592209178,0.271309789,-5.868602021,4.39E-09,8.34E-07
ENSG00000028310.13,BRD9,1191.11595,918.4417855,1302.411527,-0.562316806,0.095898403,-5.863672265,4.53E-09,8.42E-07
ENSG00000162241.8,SLC25A45,287.3397995,192.4284456,326.0791276,-0.855034103,0.145788309,-5.864901707,4.49E-09,8.42E-07
ENSG00000166535.15,A2ML1,194.9623924,298.3896112,152.7472011,1.291009461,0.220151417,5.86418873,4.51E-09,8.42E-07
ENSG00000170545.12,SMAGP,42.63599951,73.50498727,30.03641266,1.144064061,0.195577901,5.849659151,4.93E-09,9.10E-07
ENSG00000143226.8,FCGR2A,284.3967871,460.2282234,212.628854,1.677448736,0.287396077,5.836714097,5.32E-09,9.77E-07
ENSG00000067048.12,DDX3Y,2504.170125,3335.068679,2165.027858,0.714764205,0.122667766,5.826829907,5.65E-09,1.03E-06
ENSG00000163093.7,BBS5,585.6822517,453.7882024,639.5165575,-0.464041282,0.079654489,-5.825676465,5.69E-09,1.03E-06
ENSG00000255986.2,MT1JP,16.79430395,36.72650539,8.658711525,2.162273911,0.37145739,5.821055029,5.85E-09,1.05E-06
ENSG00000125459.9,MSTO1,383.6535198,294.8713567,419.8911374,-0.620838818,0.106691819,-5.818991791,5.92E-09,1.06E-06
ENSG00000145907.10,G3BP1,2214.900531,2734.837231,2002.681469,0.559962105,0.096323891,5.813325216,6.12E-09,1.09E-06
ENSG00000123094.11,RASSF8,948.290418,1311.790559,799.9230134,0.87382294,0.150582689,5.802944198,6.52E-09,1.15E-06
ENSG00000125733.13,TRIP10,408.6686458,655.6918654,307.8428419,1.17575498,0.202630515,5.802457642,6.53E-09,1.15E-06
ENSG00000186918.9,ZNF395,988.6607716,1180.560975,910.3341581,0.49242523,0.084914862,5.799046487,6.67E-09,1.16E-06
ENSG00000167244.12,IGF2,560.8113091,1411.106602,213.7520059,2.052530524,0.354746313,5.785910808,7.21E-09,1.25E-06
ENSG00000113328.14,CCNG1,1237.111687,1595.792225,1090.711468,0.632548718,0.109352746,5.784479505,7.27E-09,1.25E-06
ENSG00000124440.11,HIF3A,1650.064739,2397.000643,1345.192942,1.432022698,0.247605935,5.783474846,7.32E-09,1.25E-06
ENSG00000205358.3,MT1H,104.736883,253.5913238,43.97996839,2.002300481,0.346575606,5.777384344,7.59E-09,1.29E-06
ENSG00000128713.11,HOXD11,0.502686304,1.73426775,0,2.850040203,0.493772862,5.771966066,7.84E-09,1.33E-06
ENSG00000115825.5,PRKD3,662.2099897,904.3594662,563.3734687,0.804764209,0.139566036,5.766189481,8.11E-09,1.36E-06
ENSG00000245848.2,CEBPA,9.323210856,1.437705173,12.5417846,-2.339547408,0.405918502,-5.763588987,8.23E-09,1.38E-06
ENSG00000116678.14,LEPR,559.6202703,1057.212295,356.5214846,1.404820552,0.244322923,5.749851597,8.93E-09,1.48E-06
ENSG00000055208.12,TAB2,2052.249507,2566.245154,1842.455365,0.647701852,0.112731254,5.745539334,9.16E-09,1.51E-06
ENSG00000135378.3,PRRG4,31.54724024,54.91688212,22.0086109,1.444474119,0.251778848,5.737074939,9.63E-09,1.58E-06
ENSG00000136872.12,ALDOB,52.75072908,79.99517435,41.63054734,1.161616527,0.202538493,5.735287693,9.73E-09,1.59E-06
ENSG00000119729.6,RHOQ,2533.718858,3247.1324,2242.529658,0.661995375,0.115484973,5.732307471,9.91E-09,1.61E-06
ENSG00000178573.6,MAF,1486.986213,2172.245492,1207.288549,0.827600973,0.144484407,5.727960491,1.02E-08,1.64E-06
ENSG00000125122.10,LRRC29,127.4318972,93.78722821,141.1644152,-0.83218577,0.145335165,-5.725976698,1.03E-08,1.65E-06
ENSG00000083223.13,ZCCHC6,491.086409,614.4360452,440.7396186,0.541759452,0.094647906,5.72394548,1.04E-08,1.66E-06
ENSG00000101347.7,SAMHD1,1352.410716,1710.116627,1206.408303,0.671379299,0.117315043,5.722874743,1.05E-08,1.66E-06
ENSG00000155926.9,SLA,256.9425237,374.7401384,208.8618646,1.141277526,0.199700171,5.714955177,1.10E-08,1.73E-06
ENSG00000153404.9,PLEKHG4B,35.36820862,65.1267559,23.22186279,1.65135143,0.289600637,5.702167802,1.18E-08,1.86E-06
ENSG00000142973.8,CYP4B1,29.06343326,65.67014204,14.12191946,2.015968801,0.353717619,5.699373433,1.20E-08,1.88E-06
ENSG00000076248.6,UNG,896.7498127,1162.392266,788.3243216,0.720851642,0.126709543,5.689008285,1.28E-08,1.98E-06
ENSG00000101342.5,TLDC2,37.82480583,49.80816602,32.93363841,1.019597928,0.179291399,5.686820081,1.29E-08,2.00E-06
ENSG00000140181.10,HERC2P2,7623.907967,11505.51233,6039.579657,0.94413719,0.166082737,5.684740064,1.31E-08,2.01E-06
ENSG00000131242.11,RAB11FIP4,7431.468531,5506.081919,8217.340618,-0.706096101,0.124229722,-5.683793598,1.32E-08,2.01E-06
ENSG00000149452.11,SLC22A8,46.84594102,134.2128481,11.18597896,2.557081178,0.450151795,5.680486468,1.34E-08,2.04E-06
ENSG00000253753.1,AC145123.2,12.39889264,4.56070949,15.59815107,-1.946509277,0.342710994,-5.679739821,1.35E-08,2.04E-06
ENSG00000224888.3,RP5-1142A6.2,69.79178717,43.22199419,80.63660063,-1.161744721,0.204600298,-5.678118434,1.36E-08,2.05E-06
ENSG00000117280.8,RAB7L1,817.2254875,1051.540485,721.5867128,0.68826305,0.121402505,5.669265628,1.43E-08,2.14E-06
ENSG00000125148.6,MT2A,3905.409694,6332.264917,2914.856542,1.290149373,0.227601321,5.668461699,1.44E-08,2.14E-06
ENSG00000121966.6,CXCR4,248.0649097,462.6540538,160.4775039,1.442847511,0.254710977,5.66464598,1.47E-08,2.18E-06
ENSG00000159873.5,CCDC117,838.0191522,1098.361689,731.7568924,0.568549757,0.100514168,5.656414129,1.55E-08,2.27E-06
ENSG00000114638.3,UPK1B,12.36792843,34.98904389,3.134820073,2.615018454,0.462572065,5.653213093,1.57E-08,2.30E-06
ENSG00000264063.1,MIR3687,8.419617202,0.049573113,11.83596173,-2.77288649,0.490736108,-5.650463544,1.60E-08,2.33E-06
ENSG00000225556.1,C2CD4D,41.18427762,18.93636612,50.26505783,-1.211442169,0.214616317,-5.644688095,1.65E-08,2.38E-06
